,X,title,year,runtime,genre1,certificate,rating,director,cast,gross,votes
3210,3210,Happy Feet: Rompiendo el hielo,2006,108,Animation,PG-13,6.4,George Miller,Warren Coleman|Judy Morris|Elijah Wood|Brittany Murphy|Hugh Jackman|Robin Williams,198000317,160615
3211,3211,Happy Feet 2,2011,100,Animation,G,5.9,George Miller,Gary Eck|David Peers|Elijah Wood|Robin Williams|Pink|Carlos Alazraqui,64006466,39227
3212,3212,Terminagolf,1996,92,Comedy,PG-13,7,Dennis Dugan,Adam Sandler|Christopher McDonald|Julie Bowen|Frances Bay,38624000,184137
3213,3213,Happy Together,1997,96,Drama,R,7.8,Kar-Wai Wong,Leslie Cheung|Tony Chiu-Wai Leung|Chen Chang|Gregory Dayton,187508,19937
3214,3214,Salvajemente tiernos,1999,98,Comedy,PG,6.3,Mark Illsley,Jeremy Northam|Steve Zahn|William H. Macy|Ally Walker,1943649,9327
3215,3215,Happy un cuento sobre la felicidad,2008,118,Comedy,PG,7,Mike Leigh,Sally Hawkins|Alexis Zegerman|Samuel Roukin|Elliot Cowan,3494485,36317
3216,3216,Happythankyoumoreplease,2010,100,Comedy,R,6.8,Josh Radnor,Josh Radnor|Malin Akerman|Zoe Kazan|Michael Algieri,215576,28504
3217,3217,Hara-Kiri: muerte de un samurai,2011,128,Drama,PG-13,7.3,Takashi Miike,Kôji Yakusho|Munetaka Aoki|Naoto Takenaka|Hikari Mitsushima,60201,6791
3218,3218,Hard Candy,2005,104,Drama,PG-13,7.1,David Slade,Patrick Wilson|Ellen Page|Sandra Oh|Odessa Rae,1007962,148569
3220,3220,Hard Eight Sidney,1996,102,Crime,PG,7.2,Paul Thomas Anderson,Philip Baker Hall|John C. Reilly|Gwyneth Paltrow|Samuel L. Jackson,222559,37190
3222,3222,Blanco humano,1993,97,Action,R,6.2,John Woo,Jean-Claude Van Damme|Lance Henriksen|Yancy Butler|Chuck Pfarrer,32589677,41650
3224,3224,El luchador,1975,93,Crime,PG-13,7.3,Walter Hill,Charles Bronson|James Coburn|Jill Ireland|Strother Martin,8720000,8619
3226,3226,Difícil de matar,1990,96,Action,R,5.8,Bruce Malmuth,Steven Seagal|Kelly LeBrock|William Sadler|Frederick Coffin,47410000,25920
3227,3227,Hardball,2001,109,Drama,PG-13,6.4,Brian Robbins,Keanu Reeves|Diane Lane|John Hawkes|Bryan Hearne,40219708,26754
3228,3228,Curvas peligrosas,1984,88,Comedy,PG-13,4.9,Mark Griffiths,Grant Cramer|Teal Roberts|Gary Wood|Michael Rapport,7121719,2945
3230,3230,Hardware programado para matar,1990,94,Sci-Fi,R,6,Richard Stanley,Dylan McDermott|Stacey Travis|John Lynch|Carl McCoy,5728953,11943
3232,3232,Noches de Harlem,1989,116,Comedy,PG,6.1,Eddie Murphy,Eddie Murphy|Richard Pryor|Redd Foxx|Danny Aiello,60864870,18696
3233,3233,Dos duros sobre ruedas,1991,98,Action,R,6.2,Simon Wincer,Mickey Rourke|Don Johnson|Chelsea Field|Daniel Baldwin,7434726,17418
3234,3234,Dos colgaos muy fumaos: Fuga de Guantánamo,2008,104,Adventure,PG-13,6.6,Jon Hurwitz,Hayden Schlossberg|John Cho|Kal Penn|Neil Patrick Harris|Rob Corddry,38087366,126251
3235,3235,2 colgaos muy fumaos,2004,88,Adventure,PG-13,7.1,Danny Leiner,John Cho|Kal Penn|Ethan Embry|Rob Tinkler,18225165,174294
3237,3237,Harriet la espía,1996,100,Comedy,PG,5.9,Bronwen Hughes,Michelle Trachtenberg|Rosie O'Donnell|Gregory Smith|Vanessa Chester,26539321,9164
3238,3238,Las flores de Harrison,2000,130,Drama,PG-13,7.1,Élie Chouraqui,Andie MacDowell|Scott Anton|Elias Koteas|Brendan Gleeson,1843570,5895
3240,3240,Harry Brown,2009,103,Action,PG-13,7.2,Daniel Barber,Michael Caine|Emily Mortimer|David Bradley|Charlie Creed-Miles,1818681,81554
3241,3241,Harry Potter y la cámara secreta,2002,161,Adventure,PG,7.4,Chris Columbus,Daniel Radcliffe|Rupert Grint|Emma Watson|Richard Harris,261988482,506123
3242,3242,Harry Potter y las Reliquias de la Muerte - Parte 1,2010,146,Adventure,PG,7.7,David Yates,Daniel Radcliffe|Emma Watson|Rupert Grint|Bill Nighy,295983305,437297
3243,3243,Harry Potter y las Reliquias de la Muerte - Parte 2,2011,130,Adventure,PG,8.1,David Yates,Daniel Radcliffe|Emma Watson|Rupert Grint|Michael Gambon,381011219,708118
3244,3244,Harry Potter y el cáliz de fuego,2005,157,Adventure,PG,7.7,Mike Newell,Daniel Radcliffe|Emma Watson|Rupert Grint|Eric Sykes,290013036,501521
3245,3245,Harry Potter y el misterio del príncipe,2009,153,Action,PG,7.6,David Yates,Daniel Radcliffe|Emma Watson|Rupert Grint|Michael Gambon,301959197,430459
3246,3246,Harry Potter y la Orden del Fénix,2007,138,Action,PG,7.5,David Yates,Daniel Radcliffe|Emma Watson|Rupert Grint|Brendan Gleeson,292004738,466141
3247,3247,Harry Potter y el prisionero de Azkaban,2004,142,Adventure,PG,7.9,Alfonso Cuarón,Daniel Radcliffe|Emma Watson|Rupert Grint|Richard Griffiths,249358727,502766
3248,3248,Harry Potter y la piedra filosofal,2001,152,Adventure,G,7.6,Chris Columbus,Daniel Radcliffe|Rupert Grint|Richard Harris|Maggie Smith,317575550,584431
3250,3250,Bigfoot y los Henderson,1987,110,Comedy,G,6,William Dear,John Lithgow|Melinda Dillon|Margaret Langrick|Joshua Rudoy,29760613,29313
3252,3252,Vidas al límite,2005,116,Action,PG-13,6.9,David Ayer,Christian Bale|Freddy Rodríguez|Eva Longoria|Chaka Forman,3337931,60779
3253,3253,La guerra de Hart,2002,125,Drama,PG-13,6.3,Gregory Hoblit,Bruce Willis|Colin Farrell|Terrence Howard|Cole Hauser,19076815,49070
3254,3254,Harvard Beats Yale 29-29,2008,105,Documentary,PG-13,7.2,Kevin Rafferty,Don Gillis|Bruce Freeman|Ted Skowronski|Ted Livingston,267045,593
3255,3255,Harvard Man,2001,99,Comedy,PG-13,4.9,James Toback,Sarah Michelle Gellar|Adrian Grenier|Joey Lauren Adams|Eric Stoltz,56653,4072
3256,3256,Hatchet - Pesadelo no Pântano,2006,85,Comedy,PG-13,5.7,Adam Green,Kane Hodder|Joel David Moore|Deon Richmond|Amara Zaragoza,155873,27409
3257,3257,Hatchet II,2010,85,Action,R,5.5,Adam Green,Danielle Harris|Kane Hodder|Tony Todd|Parry Shen,62000,11643
3261,3261,Terrorífica luna de miel,1986,82,Comedy,PG,5.7,Gene Wilder,Gene Wilder|Gilda Radner|Dom DeLuise|Jonathan Pryce,8033397,6337
3262,3262,Habana,1990,144,Drama,PG,6.1,Sydney Pollack,Robert Redford|Lena Olin|Alan Arkin|Tomas Milian,9243140,6724
3264,3264,Ligações Ilegais,2004,115,Crime,PG,5.8,Frank E. Flowers,Bill Paxton|Agnes Bruckner|Orlando Bloom|Zoe Saldana,136823,6291
3267,3267,Indomable,2011,93,Action,PG,5.8,Steven Soderbergh,Gina Carano|Ewan McGregor|Michael Fassbender|Michael Angarano,18942396,79535
3269,3269,Una mala jugada,1998,136,Drama,R,6.9,Spike Lee,Denzel Washington|Milla Jovovich|Ray Allen|Rosario Dawson,21554585,41839
3270,3270,Él dijo ella dijo,1991,115,Comedy,PG,5.6,Ken Kwapis,Marisa Silver|Kevin Bacon|Elizabeth Perkins|Nathan Lane|Anthony LaPaglia,9804775,5787
3271,3271,Qué les pasa a los hombres,2009,129,Comedy,PG,6.4,Ken Kwapis,Ginnifer Goodwin|Jennifer Aniston|Jennifer Connelly|Morgan Lily,93953653,152479
3272,3272,Dinero y poder,1985,90,Comedy,PG-13,5.5,Ken Finkleman,Judge Reinhold|Eddie Albert|Lori-Nan Engler|Merritt Butrick,3393807,1297
3273,3273,De cabeza,1998,104,Drama,PG-13,6.5,Ana Kokkinos,Alex Dimitriades|Elena Mandalis|Damien Fotiou|Alex Papps,378667,3848
3274,3274,Cómo perder la cabeza,2001,86,Comedy,PG,5.4,Mark Waters,Monica Potter|Freddie Prinze Jr.|Shalom Harlow|Ivana Milicevic,10397365,13379
3275,3275,Juegos de mujer,2004,132,Drama,R,6.6,John Duigan,Charlize Theron|Stuart Townsend|Penélope Cruz|Thomas Kretschmann,398278,14104
3276,3276,De incompetente a presidente,2003,95,Comedy,PG-13,5.5,Chris Rock,Chris Rock|Bernie Mac|Lynn Whitfield|Dylan Baker,37788228,17328
3277,3277,Headhunters,2011,96,Action,PG-13,7.5,Morten Tyldum,Aksel Hennie|Synnøve Macody Lund|Nikolaj Coster-Waldau|Julie R. Ølgaard,1196752,92426
3278,3278,Sombras en el silencio,1993,97,Thriller,PG-13,5,Robert Greenwald,Marlee Matlin|D.B. Sweeney|Martin Sheen|John C. McGinley,5678777,1017
3279,3279,Black Ghost,1990,100,Comedy,PG-13,5.6,James D. Parriott,Bob Hoskins|Denzel Washington|Chloe Webb|Roger E. Mosley,4134992,3049
3280,3280,Corazones y almas,1993,104,Comedy,PG-13,6.9,Ron Underwood,Robert Downey Jr.|Charles Grodin|Alfre Woodard|Kyra Sedgwick,16581714,15278
3284,3284,Los amores imaginarios,2010,101,Drama,PG-13,7.1,Xavier Dolan,Xavier Dolan|Monia Chokri|Niels Schneider|Anne Dorval,62985,25112
3285,3285,Heartbreak Hotel,1988,97,Comedy,PG-13,5.7,Chris Columbus,David Keith|Tuesday Weld|Charlie Schlatter|Angela Goethals,5509417,1130
3286,3286,El sargento de hierro,1986,130,Drama,PG-13,6.9,Clint Eastwood,Clint Eastwood|Marsha Mason|Everett McGill|Moses Gunn,42724017,37024
3287,3287,Las seductoras,2001,123,Comedy,PG-13,6.2,David Mirkin,Sigourney Weaver|Jennifer Love Hewitt|Gene Hackman|Ray Liotta,40336607,49303
3288,3288,Se acabó el pastel,1986,108,Comedy,PG,6.1,Mike Nichols,Meryl Streep|Jack Nicholson|Jeff Daniels|Maureen Stapleton,25314289,8608
3291,3291,Corazones en Atlántida,2001,101,Drama,PG,6.9,Scott Hicks,Anthony Hopkins|Anton Yelchin|Hope Davis|Mika Boorem,24185781,34535
3293,3293,Heat,1995,170,Crime,PG-13,8.2,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight,67436818,535666
3294,3294,Acorralado en Las Vegas,1986,101,Action,PG-13,5.6,Dick Richards,Jerry Jameson|Burt Reynolds|Karen Young|Peter MacNicol|Howard Hesseman,2793214,1646
3296,3296,Escuela de jóvenes asesinos,1988,103,Comedy,R,7.2,Michael Lehmann,Winona Ryder|Christian Slater|Shannen Doherty|Lisanne Falk,1108462,80980
3297,3297,El cielo y la tierra,1993,140,Action,PG-13,6.8,Oliver Stone,Hiep Thi Le|Tommy Lee Jones|Haing S. Ngor|Bussaro Sanruck,5864949,12542
3298,3298,El cielo puede esperar,1978,101,Comedy,PG-13,6.9,Warren Beatty,Buck Henry|Warren Beatty|James Mason|Julie Christie|Jack Warden,81640278,17248
3299,3299,Curso del 65,1985,104,Comedy,PG,7,Michael Dinner,Donald Sutherland|Andrew McCarthy|John Heard|Mary Stuart Masterson,6070794,3765
3300,3300,La puerta del cielo,1980,219,Adventure,PG-13,6.8,Michael Cimino,Kris Kristofferson|Christopher Walken|John Hurt|Sam Waterston,3484331,12625
3307,3307,Pesos pesados,1995,100,Comedy,PG,6.6,Steven Brill,Tom McGowan|Aaron Schwartz|Ben Stiller|David Goldman,17689177,23361
3308,3308,Hedwig and the Angry Inch,2001,95,Comedy,PG-13,7.7,John Cameron Mitchell,John Cameron Mitchell|Miriam Shor|Stephen Trask|Theodore Liscinski,3029081,30205
3309,3309,A Canção de Heidi,1982,94,Animation,G,6.4,Robert Taylor,Lorne Greene|Sammy Davis Jr.|Margery Gray|Michael Bell,5124391,228
3310,3310,El último golpe,2001,109,Action,PG-13,6.5,David Mamet,Gene Hackman|Rebecca Pidgeon|Danny DeVito|Delroy Lindo,47239,31720
3311,3311,Secuestro por accidente,1999,89,Comedy,PG-13,5.2,Steve Rash,Jamie Foxx|Nia Long|Barry Corbin|John Cullum,4692814,3313
3314,3314,Hell Ride - Motos do Inferno,2008,84,Action,PG-13,5.1,Larry Bishop,Larry Bishop|Dennis Hopper|Michael Madsen|Julia Jones,194287,15094
3315,3315,Hell and Back,2015,86,Animation,R,5.4,Tom Gianas,Ross Shuman|Nick Swardson|Mila Kunis|Bob Odenkirk|T.J. Miller,156166,4478
3316,3316,La cocina del infierno,1998,95,Crime,R,4.7,Tony Cinciripini,Rosanna Arquette|William Forsythe|Angelina Jolie|Mekhi Phifer,9122,2348
3317,3317,Hellbound: Hellraiser II,1988,97,Horror,R,6.5,Tony Randel,Doug Bradley|Ashley Laurence|Clare Higgins|Kenneth Cranham,11090735,38459
3318,3318,Hellboy,2004,122,Action,PG-13,6.8,Guillermo del Toro,Ron Perlman|Doug Jones|Selma Blair|John Hurt,59623958,295157
3319,3319,Hellboy II: El ejército dorado,2008,120,Action,PG,7,Guillermo del Toro,Ron Perlman|Selma Blair|Doug Jones|John Alexander,75754670,246418
3320,3320,¿Estás muerta cariño?,1987,96,Comedy,PG,5.3,Frank Perry,Shelley Long|Judith Ivey|Gabriel Byrne|Corbin Bernsen,20419446,2900
3321,3321,Olá e Adeus,2012,95,Comedy,R,6.2,Todd Louiso,Melanie Lynskey|Christopher Abbott|Blythe Danner|John Rubinstein,106709,5582
3322,3322,Hellraiser: Los que traen el infierno,1987,94,Horror,R,7,Clive Barker,Andrew Robinson|Clare Higgins|Ashley Laurence|Sean Chapman,14564027,95243
3324,3324,Hellraiser III. Infierno en la Tierra,1992,97,Horror,R,5.5,Anthony Hickox,Terry Farrell|Doug Bradley|Kevin Bernhardt|Lawrence Mortorff,12534961,25558
3325,3325,Hellraiser 4 El final de la dinastía sangrienta,1996,85,Horror,R,5.2,Kevin Yagher,Bruce Ramsay|Valentina Vargas|Doug Bradley|Charlotte Chatton,16675000,18080
3330,3330,Henri Cartier-Bresson - Biographie eines Blicks,2003,72,Documentary,PG-13,7.3,Heinz Bütler,Henri Cartier-Bresson|Alexander Brooks|Robert Delpire|Elliott Erwitt,25347,299
3331,3331,Henry & June (El diario íntimo de Anaïs Nin),1990,136,Biography,R,6.3,Philip Kaufman,Fred Ward|Uma Thurman|Maria de Medeiros|Richard E. Grant,11567449,11736
3332,3332,Henry Fool,1997,137,Comedy,PG-13,7.3,Hal Hartley,Thomas Jay Ryan|James Urbaniak|Parker Posey|Maria Porter,1338335,6626
3335,3335,El milagro de Henry Poole,2008,99,Comedy,PG,6.4,Mark Pellington,Luke Wilson|Radha Mitchell|George Lopez|Adriana Barraza,1836515,12002
3336,3336,Enrique V,1989,137,Action,PG-13,7.5,Kenneth Branagh,Kenneth Branagh|Derek Jacobi|Simon Shepherd|James Larkin,10161099,26930
3340,3340,O Crime de Henry,2010,108,Comedy,PG,6,Malcolm Venville,Keanu Reeves|Vera Farmiga|James Caan|Judy Greer,101882,18085
3341,3341,Henry retrato de un asesino,1986,83,Biography,R,7,John McNaughton,Michael Rooker|Tracy Arnold|Tom Towles|Mary Demas,609939,29267
3342,3342,Su coartada,1989,94,Comedy,PG,5.8,Bruce Beresford,Tom Selleck|Paulina Porizkova|William Daniels|James Farentino,18699037,6458
3344,3344,Herb & Dorothy,2008,87,Documentary,PG-13,7.5,Megumi Sasaki,Paula Antebi|Will Barnet|Robert Barry|Lynda Benglis,194721,804
3345,3345,Herbie: A tope,2005,101,Adventure,G,4.8,Angela Robinson,Lindsay Lohan|Michael Keaton|Cheryl Hines|Breckin Meyer,66023816,42873
3347,3347,Herbie un volante loco,1974,88,Comedy,PG-13,5.7,Robert Stevenson,Helen Hayes|Ken Berry|Stefanie Powers|John McIntire,38229000,6771
3348,3348,Hércules,1997,93,Animation,PG-13,7.3,Ron Clements,John Musker|Tate Donovan|Susan Egan|James Woods|Josh Keaton,99046791,188496
3349,3349,Hércules,2014,98,Action,PG,6,Brett Ratner,Dwayne Johnson|John Hurt|Ian McShane|Joseph Fiennes,72688614,139264
3350,3350,El desafío de Hércules,1983,98,Adventure,G,4,Luigi Cozzi,Lou Ferrigno|Brad Harris|Sybil Danning|Rossana Podestà,10676194,3258
3351,3351,Peso pesado,2012,105,Action,PG,6.4,Frank Coraci,Kevin James|Salma Hayek|Henry Winkler|Greg Germann,45290318,82617
3352,3352,Aquí en la Tierra,2000,96,Drama,PG-13,5.2,Mark Piznarski,Chris Klein|Leelee Sobieski|Josh Hartnett|Michael Rooker,10494147,8069
3353,3353,Más allá de la vida,2010,129,Drama,PG,6.4,Clint Eastwood,Matt Damon|Cécile de France|Bryce Dallas Howard|Thierry Neuvic,32746941,87996
3354,3354,Hero,2002,107,Action,PG-13,7.9,Yimou Zhang,Jet Li|Tony Chiu-Wai Leung|Maggie Cheung|Ziyi Zhang,53710019,168023
3355,3355,Héroe por accidente,1992,119,Comedy,PG-13,6.5,Stephen Frears,Dustin Hoffman|Geena Davis|Andy Garcia|Joan Cusack,19507345,20144
3357,3357,El héroe y el terror,1988,96,Action,PG,5.3,William Tannen,Chuck Norris|Brynn Thayer|Steve James|Jack O'Halloran,5301200,3125
3358,3358,Tan solo héroes,1977,112,Comedy,PG-13,6.1,Jeremy Kagan,Henry Winkler|Sally Field|Harrison Ford|Val Avery,33500000,1530
3360,3360,Hesher Esteve Aqui,2010,106,Comedy,R,7,Spencer Susser,Joseph Gordon-Levitt|Devin Brochu|Natalie Portman|Rainn Wilson,382946,49062
3361,3361,Linda loca y peligrosa,1993,90,Comedy,R,5.6,Alan Spencer,Arye Gross|Claudia Christian|Adrienne Shelly|Ray Baker,2786807,1471
3362,3362,¡Oye Arnold! La película,2002,76,Animation,PG-13,5.9,Tuck Tucker,Spencer Klein|Francesca Marie Smith|Jamil Walker Smith|Dan Castellaneta,13684949,6017
3363,3363,Hey Boo: Harper Lee and 'To Kill a Mockingbird',2010,78,Documentary,PG-13,7.5,Mary McDonagh Murphy,Mary Badham|Jane Beasley|Rick Bragg|Tom Brokaw,31135,303
3366,3366,Océanos de fuego,2004,136,Action,PG-13,6.7,Joe Johnston,Viggo Mortensen|Omar Sharif|Zuleikha Robinson|Louise Lombard,67286731,74698
3367,3367,Agenda oculta,1990,108,Drama,PG,6.9,Ken Loach,Frances McDormand|Brian Cox|Brad Dourif|Mai Zetterling,1030938,3282
3371,3371,El escondite,2005,101,Drama,R,6,John Polson,Robert De Niro|Dakota Fanning|Famke Janssen|Elisabeth Shue,51100486,78886
3372,3372,Asesino del más allá,1995,106,Fantasy,R,5.3,Brett Leonard,Jeff Goldblum|Christine Lahti|Alicia Silverstone|Jeremy Sisto,12201255,6041
3373,3373,Hideous Kinky,1998,98,Adventure,R,6.1,Gillies MacKinnon,Kate Winslet|Bella Riza|Saïd Taghmaoui|Carrie Mullan,1262786,6097
3374,3374,Descubierto,1987,98,Comedy,PG-13,6.5,Bob Giraldi,Jon Cryer|Keith Coogan|Annabeth Gish|Oliver Cotton,7019441,2973
3375,3375,Máxima ansiedad,1977,94,Comedy,PG,6.7,Mel Brooks,Mel Brooks|Madeline Kahn|Cloris Leachman|Harvey Korman,31063038,18598
3376,3376,High Art,1998,101,Drama,R,6.6,Lisa Cholodenko,Radha Mitchell|Ally Sheedy|Patricia Clarkson|Gabriel Mann,1929168,9426
3377,3377,Toda la verdad,2002,115,Crime,PG-13,6.4,Carl Franklin,Jim Caviezel|Morgan Freeman|Ashley Judd|Adam Scott,41543207,36534
3378,3378,Alta fidelidad,2000,113,Comedy,PG,7.5,Stephen Frears,John Cusack|Iben Hjejle|Todd Louiso|Jack Black,27277055,160347
3379,3379,Grandes ambiciones,1988,108,Comedy,PG,7.4,Mike Leigh,Phil Davis|Ruth Sheen|Edna Doré|Philip Jackson,1192322,3957
3380,3380,Infierno de cobardes,1973,105,Drama,R,7.5,Clint Eastwood,Clint Eastwood|Verna Bloom|Marianna Hill|Mitchell Ryan,15700000,46367
3381,3381,La gran ruta hacia China,1983,105,Adventure,PG-13,6.1,Brian G. Hutton,Tom Selleck|Bess Armstrong|Jack Weston|Wilford Brimley,28400000,4638
3382,3382,High School,2010,99,Comedy,R,5.8,John Stalberg Jr.,Matt Bush|Sean Marquette|Adrien Brody|Colin Hanks,139034,7118
3383,3383,Aprende como puedas,1996,86,Comedy,PG,5.5,Hart Bochner,Jon Lovitz|Tia Carrere|Louise Fletcher|Mekhi Phifer,20951277,12150
3386,3386,High School Musical 3: Fin de curso,2008,112,Comedy,PG-13,4.7,Kenny Ortega,Zac Efron|Vanessa Hudgens|Ashley Tisdale|Lucas Grabeel,90559416,54052
3388,3388,El hotel de los fantasmas,1988,99,Comedy,PG-13,5.8,Neil Jordan,Peter O'Toole|Daryl Hannah|Steve Guttenberg|Donal McCann,8578231,8063
3390,3390,Alta tensión,2003,91,Horror,R,6.8,Alexandre Aja,Cécile de France|Maïwenn|Philippe Nahon|Franck Khalfoun,3681066,64223
3391,3391,Un extraño amor,1987,101,Drama,PG-13,7.1,Gillian Armstrong,Judy Davis|Jan Adele|Claudia Karvan|Colin Friels,138288,737
3392,3392,Arranha-Céus,2015,119,Drama,R,5.6,Ben Wheatley,Tom Hiddleston|Jeremy Irons|Sienna Miller|Luke Evans,343139,34817
3393,3393,Semillas de rencor,1995,127,Crime,R,6.5,John Singleton,Omar Epps|Kristy Swanson|Michael Rapaport|Jennifer Connelly,38290723,17087
3394,3394,Los inmortales,1986,116,Action,R,7.1,Russell Mulcahy,Christopher Lambert|Sean Connery|Clancy Brown|Roxanne Hart,5900000,115032
3396,3396,Los inmortales II: El desafío,1991,91,Action,PG,4.3,Russell Mulcahy,Christopher Lambert|Sean Connery|Virginia Madsen|Michael Ironside,15556340,41770
3397,3397,Los inmortales: Juego final,2000,87,Action,PG-13,4.6,Douglas Aarniokoski,Christopher Lambert|Adrian Paul|Bruce Payne|Lisa Barbuscia,12801190,18612
3398,3398,Los inmortales III. El hechicero,1994,99,Action,R,4.5,Andrew Morahan,Christopher Lambert|Mario Van Peebles|Deborah Kara Unger|Mako,13829734,18927
3408,3408,La loca historia del mundo,1981,92,Comedy,PG,6.9,Mel Brooks,Mel Brooks|Gregory Hines|Dom DeLuise|Madeline Kahn,31672907,43477
3409,3409,Fuga explosiva,2012,100,Action,PG,6.1,David Palmer,Dax Shepard|Dax Shepard|Kristen Bell|Bradley Cooper|Kristin Chenoweth,13746550,32776
3411,3411,Hitch: Especialista en ligues,2005,118,Comedy,PG,6.6,Andy Tennant,Will Smith|Eva Mendes|Kevin James|Amber Valletta,179495555,282381
3412,3412,Hitchcock,2012,98,Biography,PG,6.8,Sacha Gervasi,Anthony Hopkins|Helen Mirren|Scarlett Johansson|Danny Huston,6008677,69162
3416,3416,Hitman,2007,100,Action,R,6.3,Xavier Gens,Timothy Olyphant|Dougray Scott|Olga Kurylenko|Robert Knepper,39687694,155559
3418,3418,Hitman: Agente 47,2015,96,Action,PG-13,5.7,Aleksander Bach,Rupert Friend|Hannah Ware|Zachary Quinto|Ciarán Hinds,22467450,81848
3420,3420,Hobo with a Shotgun,2011,86,Action,PG-13,6.1,Jason Eisener,Rutger Hauer|Pasha Ebrahimi|Robb Wells|Brian Downey,703002,42498
3421,3421,El retorno de las brujas,1993,96,Comedy,PG,6.8,Kenny Ortega,Bette Midler|Sarah Jessica Parker|Kathy Najimy|Omri Katz,39514713,87972
3422,3422,Hoffa: un pulso al poder,1992,140,Biography,R,6.6,Danny DeVito,Jack Nicholson|Danny DeVito|Armand Assante|J.T. Walsh,24276500,20017
3425,3425,La maldición de los hoyos,2003,117,Adventure,PG,7,Andrew Davis,Shia LaBeouf|Sigourney Weaver|Jon Voight|Tim Blake Nelson,67406573,71710
3427,3427,El hombre sin sombra,2000,112,Action,PG-13,5.8,Paul Verhoeven,Kevin Bacon|Elisabeth Shue|Josh Brolin|Kim Dickens,73209340,116763
3428,3428,Un final made in Hollywood,2002,112,Comedy,PG-13,6.6,Woody Allen,Woody Allen|Téa Leoni|Bob Dorian|Ivan Martin,4839383,24675
3429,3429,Hollywood: Departamento de homicidios,2003,116,Action,PG-13,5.3,Ron Shelton,Harrison Ford|Josh Hartnett|Isaiah Washington|Lena Olin,30013346,34661
3430,3430,Hollywood Shuffle,1987,78,Comedy,PG-13,7,Robert Townsend,Robert Townsend|Craigus R. Johnson|Helen Martin|Starletta DuPois,5228617,4467
3431,3431,Hollywoodland,2006,126,Biography,PG,6.5,Allen Coulter,Adrien Brody|Ben Affleck|Diane Lane|Bob Hoskins,14415222,31762
3432,3432,El gurú: Una incontrolable tentación,1998,114,Comedy,PG-13,4.9,Stephen Herek,Eddie Murphy|Jeff Goldblum|Kelly Preston|Robert Loggia,12065985,18353
3433,3433,Holy Rollers,2010,89,Biography,R,5.9,Kevin Asch,Jesse Eisenberg|Justin Bartha|Danny A. Abeckaser|Ari Graynor,302886,4703
3434,3434,Holy Smoke,1999,115,Drama,R,5.9,Jane Campion,Kate Winslet|Harvey Keitel|Julie Hamilton|Sophie Lee,1758780,13373
3435,3435,Home: Hogar dulce hogar,2015,94,Animation,G,6.6,Tim Johnson,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez,177397510,87259
